document-uri,effective-directive,blocked-uri,source-file,line-number,column-number,0
https://support.mozilla.org/t5/%D0%A3%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0-%D0%B8-%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5/%D0%92%D0%B0%D0%B6%D0%BD%D0%BE-Firefox-%D0%B2%D1%81%D0%BA%D0%BE%D1%80%D0%B5-%D0%BF%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%89%D0%B0%D0%B5%D1%82-%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D1%83-Windows-XP-%D0%B8-Vista/ta-p/31718,,https://support.mozilla.org/t5/%D0%A3%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0-%D0%B8-%D0%BE%D0%B1%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5/%D0%92%D0%B0%D0%B6%D0%BD%D0%BE-Firefox-%D0%B2%D1%81%D0%BA%D0%BE%D1%80%D0%B5-%D0%BF%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%89%D0%B0%D0%B5%D1%82-%D0%BF%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%BA%D1%83-Windows-XP-%D0%B8-Vista/ta-p/31718,,,,37
https://support.mozilla.org/t5/Instalar-y-actualizar/Importante-Firefox-est%C3%A1-finalizando-el-soporte-para-Windows-XP-y/ta-p/31625,,https://support.mozilla.org/t5/Instalar-y-actualizar/Importante-Firefox-est%C3%A1-finalizando-el-soporte-para-Windows-XP-y/ta-p/31625,,,,35
https://support.mozilla.org/t5/Installation-und-Aktualisierung/Wichtig-Firefox-Unterst%C3%BCtzung-endet-f%C3%BCr-Windows-XP-und-Vista/ta-p/32119,,https://support.mozilla.org/t5/Installation-und-Aktualisierung/Wichtig-Firefox-Unterst%C3%BCtzung-endet-f%C3%BCr-Windows-XP-und-Vista/ta-p/32119,,,,25
https://support.mozilla.org/t5/Instalacja-i-aktualizacja/Wa%C5%BCne-Firefox-ko%C5%84czy-wsparcie-dla-Windows-XP-i-Visty/ta-p/31920,,https://support.mozilla.org/t5/Instalacja-i-aktualizacja/Wa%C5%BCne-Firefox-ko%C5%84czy-wsparcie-dla-Windows-XP-i-Visty/ta-p/31920,,,,16
https://support.mozilla.org/t5/Installation-et-mise-%C3%A0-jour/Important-fin-de-la-prise-en-charge-de-Firefox-pour-Windows-XP/ta-p/31596,,https://support.mozilla.org/t5/Installation-et-mise-%C3%A0-jour/Important-fin-de-la-prise-en-charge-de-Firefox-pour-Windows-XP/ta-p/31596,,,,15
https://support.mozilla.org/t5/%D0%A3%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC/%D0%9F%D0%BE%D1%87%D0%B5%D0%BC%D1%83-Java-Silverlight-Adobe-Acrobat-%D0%B8-%D0%B4%D1%80%D1%83%D0%B3%D0%B8%D0%B5-%D0%BF%D0%BB%D0%B0%D0%B3%D0%B8%D0%BD%D1%8B-%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B5-%D0%BD%D0%B5/ta-p/33171,,https://support.mozilla.org/t5/%D0%A3%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC/%D0%9F%D0%BE%D1%87%D0%B5%D0%BC%D1%83-Java-Silverlight-Adobe-Acrobat-%D0%B8-%D0%B4%D1%80%D1%83%D0%B3%D0%B8%D0%B5-%D0%BF%D0%BB%D0%B0%D0%B3%D0%B8%D0%BD%D1%8B-%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B5-%D0%BD%D0%B5/ta-p/33171,,,,10
https://support.mozilla.org/t5/%E3%83%97%E3%83%A9%E3%82%A4%E3%83%90%E3%82%B7%E3%83%BC%E3%82%92%E4%BF%9D%E8%AD%B7%E3%81%99%E3%82%8B/%E5%AE%89%E5%85%A8%E3%81%A7%E3%81%AA%E3%81%84%E3%83%9A%E3%83%BC%E3%82%B8%E3%81%AE%E3%83%91%E3%82%B9%E3%83%AF%E3%83%BC%E3%83%89%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%E3%83%89%E3%81%A7%E8%AD%A6%E5%91%8A%E3%81%95%E3%82%8C%E3%82%8B/ta-p/38206,,https://support.mozilla.org/t5/%E3%83%97%E3%83%A9%E3%82%A4%E3%83%90%E3%82%B7%E3%83%BC%E3%82%92%E4%BF%9D%E8%AD%B7%E3%81%99%E3%82%8B/%E5%AE%89%E5%85%A8%E3%81%A7%E3%81%AA%E3%81%84%E3%83%9A%E3%83%BC%E3%82%B8%E3%81%AE%E3%83%91%E3%82%B9%E3%83%AF%E3%83%BC%E3%83%89%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%E3%83%89%E3%81%A7%E8%AD%A6%E5%91%8A%E3%81%95%E3%82%8C%E3%82%8B/ta-p/38206,,,,10
https://support.mozilla.org/t5/Instale-e-atualize/Importante-Firefox-est%C3%A1-finalizando-o-suporte-para-Windows-XP-e/ta-p/31651,,https://support.mozilla.org/t5/Instale-e-atualize/Importante-Firefox-est%C3%A1-finalizando-o-suporte-para-Windows-XP-e/ta-p/31651,,,,10
https://support.mozilla.org/t5/Mozilla-Hilfe-Deutsch/ct-p/de?profile.language=de,,https://support.mozilla.org/t5/Mozilla-Hilfe-Deutsch/ct-p/de?profile.language=de,,,,10
https://support.mozilla.org/t5/Install-and-Update/Update-Firefox-to-the-latest-version/ta-p/2858,,https://s7.addthis.com/static/sh.0d19417fd0a004d73df6a35b.html,,,,9
